链接,地址,户型,面积,价格
https://cd.lianjia.com/chengjiao/106106679905.html,光华美邻,2室2厅,84.83平米,215万
https://cd.lianjia.com/chengjiao/106106704994.html,华润二十四城一期,2室1厅,86.17平米,196万
https://cd.lianjia.com/chengjiao/106106347105.html,中铁二局玛塞城,2室2厅,65.92平米,142万
https://cd.lianjia.com/chengjiao/106106648346.html,中国铁建北湖国际城二期,3室2厅,91.82平米,150万
https://cd.lianjia.com/chengjiao/106105284739.html,华润凤凰城一期,3室1厅,99.65平米,269万
https://cd.lianjia.com/chengjiao/106106070211.html,中华名园三期D区,2室2厅,86.92平米,147万
https://cd.lianjia.com/chengjiao/106106659127.html,蓝谷地三四期,3室2厅,123.67平米,208万
https://cd.lianjia.com/chengjiao/106106569029.html,水韵尚城,3室2厅,115.31平米,124万
https://cd.lianjia.com/chengjiao/106106653814.html,万科五龙山九墅,3室2厅,134.89平米,169万
https://cd.lianjia.com/chengjiao/106106138406.html,尚林家园,2室1厅,87.91平米,81万
https://cd.lianjia.com/chengjiao/106104545360.html,成南领寓,1室0厅,42.59平米,36万
https://cd.lianjia.com/chengjiao/106106108584.html,碧桂园城市花园,3室2厅,107.45平米,168万
https://cd.lianjia.com/chengjiao/106105253410.html,瑞安城中汇,2室1厅,89平米,168万
https://cd.lianjia.com/chengjiao/106106663233.html,佳兆业君汇上品,3室1厅,110.14平米,216万
https://cd.lianjia.com/chengjiao/106104174847.html,东润豪庭一期,2室2厅,86.17平米,87万
https://cd.lianjia.com/chengjiao/106106603271.html,光华瑞廷,3室2厅,109.98平米,127万
https://cd.lianjia.com/chengjiao/106105722732.html,金城丽景,3室2厅,105.57平米,138万
https://cd.lianjia.com/chengjiao/106105429753.html,和贵时代巢,3室2厅,96.07平米,174万
https://cd.lianjia.com/chengjiao/106106116833.html,绿地世纪城,2室1厅,72.81平米,119万
https://cd.lianjia.com/chengjiao/106106846977.html,南阳锦城四期,3室1厅,115.14平米,218万
https://cd.lianjia.com/chengjiao/106106598781.html,上东国际,2室1厅,85.51平米,123万
https://cd.lianjia.com/chengjiao/106106698878.html,南湖左岸,2室1厅,71.32平米,137万
https://cd.lianjia.com/chengjiao/106106896558.html,丽景天成,3室1厅,98.22平米,195万
https://cd.lianjia.com/chengjiao/106106889696.html,海科名城,3室1厅,119.93平米,101万
https://cd.lianjia.com/chengjiao/106106066705.html,锦江逸家,3室1厅,74.34平米,199万
https://cd.lianjia.com/chengjiao/106105882608.html,红枫岭三期,3室1厅,89.96平米,135万
https://cd.lianjia.com/chengjiao/106106845382.html,双玺,3室1厅,87.44平米,204万
https://cd.lianjia.com/chengjiao/106105822452.html,蓝光四叶城,3室2厅,110平米,90万
https://cd.lianjia.com/chengjiao/106106420310.html,和贵久居福,3室1厅,89.17平米,131万
https://cd.lianjia.com/chengjiao/106106582577.html,香楠湖,2室1厅,62.67平米,77万
https://cd.lianjia.com/chengjiao/106105813015.html,小北街160号,2室2厅,64.17平米,29万
https://cd.lianjia.com/chengjiao/106106218804.html,金沙愉景一期,3室2厅,127.3平米,190万
https://cd.lianjia.com/chengjiao/106103899649.html,两河锦地,2室1厅,85.64平米,102万
https://cd.lianjia.com/chengjiao/106105475603.html,上行锦绣,1室2厅,55.05平米,67万
https://cd.lianjia.com/chengjiao/106105946362.html,金牛花园,1室1厅,67.2平米,75万
https://cd.lianjia.com/chengjiao/106106589767.html,空港晶座,3室2厅,99.04平米,135万
https://cd.lianjia.com/chengjiao/106105617174.html,南阳锦城,3室2厅,131.79平米,180万
https://cd.lianjia.com/chengjiao/106106900036.html,怡和新城E区,1室1厅,39.38平米,42万
https://cd.lianjia.com/chengjiao/106105075426.html,蓝光coco金沙二期,1室0厅,25.22平米,39万
https://cd.lianjia.com/chengjiao/106106731575.html,胜天人居,2室1厅,68.64平米,92万
https://cd.lianjia.com/chengjiao/106106748957.html,尚林花园,3室1厅,80.36平米,113万
